open,high,low,close,volume
47.53,47.53,45.6,45.6,587116
48.45,48.8,47.13,48.5,269519
47.71,48.45,46.1,48.45,589875
47,48.97,46.49,47.51,424162
45.65,47,45.31,46.62,262292
46,46.4,44.9,45.99,357714
46.01,46.85,44.1,45.05,781347
47.11,47.59,46.21,46.6,475572
47.35,49,46.6,46.81,1038586
45,47.7,44.99,46.6,1010875
44.35,45.9,43.5,43.97,940051
42,43.94,41.01,43.55,726310
43.05,44.36,40.55,41.35,996566
43.2,45.03,42.11,42.11,618240
45,45.11,42.5,43.8,979401
46.9,47.4,43.51,44.99,1056650
46,47.05,45.9,46.6,571442
46.15,47.1,45.3,46.5,1130989
47.81,48.4,46.5,46.61,425711
49,49.5,47.8,47.81,268141
47.9,50,47.9,50,474928
48.2,50.85,47.11,48,919107
47.95,48.52,47,47.69,476996
48.36,48.99,47.1,47.81,504976
50.25,50.34,48.25,48.35,715313
50.5,51.7,49.11,51.7,314604
50.87,51.4,48.75,50.85,387264
50.85,51.4,50.35,50.72,332165
51.5,52,50.45,50.8,384540
51.6,52.58,51.02,51.05,382895
51.5,52.6,51.5,51.5,491425
51,52.65,50.78,52.08,586322
51,51.8,50.61,50.61,519014
52.3,52.5,50.55,51.11,491552
53.55,53.55,52.1,52.1,452578
54.75,55,51.8,53,636912
54.32,55.88,54.21,54.95,409840
54.54,55.32,54.26,54.5,405030
55.5,55.5,54.12,54.6,383772
55.05,56.25,54.44,55.28,981818
53.9,54.88,53.06,54.76,661661
52.55,54.5,52.45,53.02,353360
52,54.85,51.53,52.42,547589
52.91,54.68,52.3,52.8,542879
58.25,58.5,51.87,52.25,860595
